Year,ID,Party,VCF0228,VCF0231,VCF0290,VCF0211,VCF0218,VCF0212,VCF0224,VCF0204,VCF0234,VCF0206,VCF0207,VCF0217,VCF0227,VCF0219,VCF0232,VCF0233,VCF0253,VCF0209,VCF0210,VCF0210,VCF0220,VCF0223
2012,49,Weak Republican,60,60,60,30,50,30,70,30,15,50,50,15,50,50,50,15,30,40,50,50,15,50
2012,50,Strong Republican,70,30,50,30,15,85,85,85,60,85,85,85,85,85,60,85,40,70,30,30,70,85
2012,51,Weak Democrat,60,60,65,40,80,70,50,60,70,60,60,70,60,70,40,50,50,50,60,60,70,70
2012,52,Weak Republican,50,0,33,15,15,70,50,50,70,50,50,50,50,98,0,30,30,15,50,50,98,98
2012,53,Independent Republican,0,0,20,90,20,25,20,40,35,60,85,60,60,97,70,60,50,0,98,98,35,50
2012,54,Independent,70,85,998,50,98,50,98,50,50,85,97,85,85,97,50,15,50,70,70,70,15,0
2012,55,Independent,0,15,50,50,50,50,50,30,50,30,70,60,50,97,60,50,40,40,30,30,60,70
2012,56,Strong Democrat,50,15,50,70,85,50,15,97,15,30,30,97,85,50,50,97,50,60,70,70,85,90
2012,57,Strong Republican,50,60,84,70,70,70,97,85,50,70,97,85,70,85,85,70,70,85,40,40,70,85
2012,58,Weak Democrat,70,70,60,50,70,15,50,70,40,85,85,85,75,70,0,85,85,97,30,30,30,85
2012,59,Weak Democrat,40,60,55,60,60,40,50,70,40,85,85,85,85,70,50,70,60,60,60,60,50,70
2012,60,Strong Democrat,40,40,50,85,85,15,15,70,30,50,50,50,50,85,50,50,70,30,60,60,50,60
2012,61,Strong Republican,40,40,35,15,0,85,70,50,15,0,97,40,40,85,50,0,50,30,0,0,0,50
2012,62,Strong Democrat,0,97,49,97,97,0,0,15,15,60,70,70,60,97,50,50,97,97,97,97,50,97
2012,63,Strong Democrat,70,0,49,97,97,0,0,40,0,97,97,70,85,97,97,15,97,0,85,85,97,97
2012,64,Strong Republican,60,60,63,30,40,85,85,97,75,90,90,90,90,90,90,15,90,60,85,85,60,90
2012,65,Independent Republican,40,50,50,50,50,50,50,50,99,50,50,50,50,50,50,30,50,50,50,50,50,50
2012,66,Independent,30,40,15,50,15,50,15,50,99,50,50,50,50,85,97,50,50,30,50,50,50,97
2012,67,Strong Democrat,30,15,58,85,85,30,30,50,30,85,85,85,85,85,70,60,70,30,60,60,70,70
2012,68,Strong Democrat,85,70,69,70,97,40,40,90,99,85,85,97,85,97,97,97,85,85,85,85,70,97
2012,69,Weak Democrat,50,50,73,50,85,99,60,75,75,97,97,97,97,75,50,70,99,75,99,99,75,75
2012,70,Weak Democrat,80,85,70,90,70,80,70,80,70,70,70,60,85,80,75,60,99,70,60,60,50,95
2012,71,Independent Democrat,60,60,35,70,70,40,0,70,50,50,40,50,50,60,50,50,50,50,60,60,60,60
2012,72,Strong Democrat,50,60,50,60,70,50,30,85,40,85,85,97,85,70,60,85,50,50,60,60,60,85
2012,73,Independent,30,15,0,40,0,40,0,50,30,50,60,50,50,97,97,50,50,85,15,15,50,97
2012,74,Strong Democrat,98,50,49,99,97,99,0,97,98,97,40,97,97,97,0,97,50,50,99,99,50,97
2012,75,Weak Republican,30,15,45,30,30,70,60,50,70,97,97,97,97,50,50,15,30,30,0,0,30,50
2012,76,Weak Democrat,50,40,78,60,85,60,70,70,50,60,85,85,70,97,60,40,50,70,60,60,60,70
2012,77,Independent Republican,60,60,68,40,40,60,95,97,65,85,85,85,85,97,70,60,60,60,70,70,60,90
2012,78,Independent,50,50,55,99,60,70,50,70,50,97,97,97,97,60,60,50,99,60,70,70,30,70
2012,79,Strong Republican,50,50,45,98,30,50,60,50,50,60,60,60,60,50,50,50,98,60,50,50,50,50
2012,80,Weak Democrat,60,40,65,60,80,40,50,60,85,60,85,60,60,70,0,40,70,70,60,60,15,40
2012,81,Strong Democrat,30,70,35,85,70,40,0,50,0,50,50,50,50,50,50,50,50,50,70,70,50,50
2012,82,Independent,99,99,40,99,60,99,20,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
2012,83,Strong Democrat,40,70,35,70,70,40,0,85,30,85,85,85,85,85,85,85,85,40,60,60,85,85
2012,84,Independent,50,30,998,50,98,85,98,70,50,70,85,70,50,30,50,50,50,85,85,85,50,30
2012,85,Strong Republican,60,50,49,50,1,85,97,85,85,70,70,70,70,85,85,50,30,60,25,25,85,85
2012,86,Weak Democrat,15,15,58,50,85,30,30,70,0,60,70,50,50,85,50,0,70,0,60,60,15,50
2012,87,Weak Democrat,70,50,58,60,85,50,30,60,60,97,97,97,97,70,85,70,60,70,50,50,70,60
2012,88,Independent Republican,40,70,33,70,60,60,5,85,70,70,70,50,70,85,50,15,70,40,70,70,40,70
2012,89,Weak Republican,15,30,40,40,35,70,45,60,50,60,60,50,60,70,30,30,50,60,30,30,30,40
2012,90,Independent Republican,15,30,0,50,0,50,0,50,50,99,99,99,99,70,40,0,50,15,15,15,50,70
2012,91,Strong Republican,15,15,38,15,15,97,60,70,70,5,50,50,50,50,50,0,15,60,0,0,30,50
2012,92,Strong Republican,40,40,50,40,30,85,70,85,30,50,60,70,50,85,70,30,30,70,15,15,40,70
2012,93,Independent Democrat,99,99,55,99,70,99,40,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
2012,94,Weak Democrat,40,30,20,15,40,50,0,50,30,50,50,40,50,50,15,15,50,30,70,70,50,70
2012,95,Independent Republican,40,0,40,50,40,50,40,50,50,50,50,50,50,70,50,40,30,15,40,40,50,70
2012,96,Strong Democrat,50,60,43,30,85,15,0,50,50,85,85,85,85,50,50,85,0,50,50,50,50,50
2012,97,Weak Republican,30,30,60,40,60,60,60,85,70,97,97,97,97,97,85,60,50,40,15,15,40,97
2012,98,Strong Republican,40,40,50,50,30,50,70,70,60,40,70,40,40,70,15,15,50,30,60,60,98,98
2012,99,Independent Democrat,0,0,50,98,50,98,50,15,99,40,70,50,70,85,15,30,98,15,0,0,30,50
2012,100,Independent,40,40,50,70,50,60,50,85,99,70,85,60,70,85,60,60,50,40,40,40,30,85
2012,101,Weak Republican,40,40,50,50,40,70,60,40,50,50,50,50,50,50,50,30,50,60,0,0,40,50
2012,102,Strong Republican,50,30,58,15,30,85,85,70,60,85,85,70,97,85,40,40,40,50,50,50,40,70
2012,103,Strong Republican,50,60,43,50,15,60,70,60,50,50,60,40,70,85,0,0,30,70,50,50,40,50
2012,104,Weak Republican,50,40,63,50,40,50,85,50,60,50,50,50,50,60,50,30,50,35,65,65,30,50
2012,105,Strong Republican,60,15,49,0,0,97,97,85,97,85,85,85,85,97,70,0,60,30,60,60,60,97
2012,106,Independent Democrat,15,0,55,97,60,70,50,50,15,50,50,50,50,85,70,15,50,60,40,40,50,85
2012,107,Strong Democrat,70,70,64,60,97,50,30,60,70,85,85,97,70,85,60,60,70,70,70,70,70,70
2012,108,Weak Democrat,60,70,63,85,85,60,40,85,70,85,85,85,70,85,50,60,70,70,85,85,85,85
2012,109,Strong Democrat,99,99,49,99,97,99,0,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
2012,110,Strong Democrat,60,70,45,60,60,85,30,85,30,60,60,70,60,60,97,70,60,50,50,50,70,15
2012,111,Strong Democrat,0,50,35,60,70,70,0,40,70,85,85,85,85,97,85,60,99,60,85,85,70,70
2012,112,Strong Democrat,50,70,49,50,97,50,0,85,50,97,15,15,15,97,50,50,50,50,50,50,85,85
2012,113,Strong Democrat,70,70,64,70,97,40,30,70,85,97,70,70,70,85,85,70,85,70,85,85,85,85
2012,114,Independent Republican,70,70,50,40,40,85,60,85,85,85,85,97,85,85,50,85,60,60,40,40,85,97
2012,115,Weak Democrat,60,40,50,70,60,60,40,85,60,50,50,50,50,85,97,40,70,60,60,60,40,50
2012,116,Strong Democrat,99,99,55,99,60,99,50,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
2012,117,Weak Democrat,60,70,73,50,85,70,60,97,50,50,50,50,50,85,60,50,85,50,70,70,85,70
2012,118,Strong Democrat,40,15,73,60,85,70,60,85,40,70,70,70,70,97,50,0,60,85,30,30,60,85
2012,119,Weak Democrat,60,50,43,40,85,50,0,60,60,85,85,85,60,85,50,85,50,50,70,70,70,85
2012,120,Independent Republican,15,0,50,30,50,70,50,97,60,90,97,90,90,97,15,30,85,50,30,30,30,60
2012,121,Strong Democrat,0,50,35,50,70,60,0,97,50,50,50,50,0,97,50,0,50,50,70,70,0,70
2012,122,Independent Democrat,60,40,58,40,85,60,30,70,50,70,85,40,60,60,60,0,50,40,50,50,15,60
2012,123,Strong Democrat,99,99,49,99,97,99,0,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
2012,124,Weak Democrat,70,70,50,50,50,70,50,97,70,85,60,85,50,97,50,50,50,85,85,85,50,85
2012,125,Strong Republican,40,0,55,15,50,85,60,85,50,99,85,99,99,97,50,99,70,60,15,15,50,97
2012,126,Weak Democrat,99,99,50,99,70,99,30,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
2012,127,Independent Democrat,50,40,50,50,50,60,50,50,60,85,85,50,50,70,50,30,40,40,40,40,60,70
2012,128,Strong Democrat,60,60,43,70,70,50,15,70,60,70,99,70,70,60,85,50,60,60,60,60,60,70
2012,129,Independent,70,85,60,50,70,50,50,85,70,70,70,85,50,85,60,50,50,85,99,99,50,50
2012,130,Independent Republican,30,40,50,85,50,0,50,50,15,60,70,30,40,60,85,40,50,70,50,50,30,60
2012,131,Strong Democrat,60,70,63,85,85,40,40,85,30,70,70,70,70,85,40,60,85,50,70,70,60,85
2012,132,Independent Democrat,30,40,43,70,70,30,15,50,50,85,85,85,85,70,70,40,50,50,50,50,50,70
2012,133,Strong Democrat,70,60,64,40,97,60,30,85,40,50,70,97,60,85,98,50,40,60,60,60,40,97
2012,134,Independent,60,50,68,85,85,70,50,85,60,70,70,70,97,97,97,60,97,30,60,60,60,97
2012,135,Independent Democrat,40,60,45,60,60,40,30,50,60,50,70,60,50,50,98,30,40,50,60,60,98,98
2012,136,Independent,50,50,50,50,50,50,50,50,50,0,97,50,0,70,50,0,97,60,70,70,15,98
2012,137,Independent Republican,10,10,45,5,40,85,50,70,50,90,90,90,85,50,70,40,40,70,0,0,15,50
2012,138,Strong Democrat,50,50,68,99,85,98,50,98,85,97,97,85,85,85,98,0,99,50,98,98,98,98
2012,139,Independent Democrat,60,70,63,85,85,70,40,70,85,97,70,70,70,97,50,70,70,60,85,85,60,85
2012,140,Independent Republican,40,30,50,40,30,60,70,85,30,40,60,40,40,85,40,30,40,60,0,0,40,60
2012,141,Independent Republican,30,70,65,50,60,40,70,50,30,70,97,60,70,97,50,0,50,60,40,40,50,50
2012,142,Strong Democrat,40,40,60,50,70,40,50,60,40,50,50,50,50,70,50,40,50,40,60,60,50,60
2012,143,Independent Republican,15,15,45,30,30,70,60,50,60,50,85,50,50,85,15,30,40,70,15,15,40,70
2012,144,Weak Republican,15,30,50,40,60,40,40,40,50,70,70,70,70,70,50,50,50,40,30,30,40,40
2012,145,Weak Republican,60,50,73,70,60,60,85,70,60,15,97,70,70,97,0,0,50,85,60,60,0,50
2012,146,Strong Democrat,50,60,55,70,60,70,50,85,15,85,50,85,70,85,40,75,50,85,70,70,60,85
2012,147,Weak Republican,40,70,73,60,60,85,85,50,85,70,85,85,60,97,40,60,85,60,60,60,60,70
2012,148,Strong Democrat,90,80,69,85,97,50,40,50,50,97,50,50,50,90,90,50,90,40,90,90,70,80
2012,149,Weak Democrat,60,65,35,40,70,55,0,70,50,97,52,85,85,85,60,10,55,50,80,80,80,97
2012,150,Strong Democrat,70,60,56,40,97,40,15,50,30,97,85,97,70,97,50,60,97,30,70,70,85,97
2012,151,Weak Democrat,30,30,60,30,70,30,50,97,0,85,97,97,97,97,70,97,30,30,60,60,50,97
2012,152,Strong Republican,50,40,58,50,30,50,85,50,50,85,85,85,85,60,50,15,50,50,50,50,50,60
2012,153,Strong Republican,60,60,55,40,40,85,70,70,70,70,70,70,70,85,60,40,40,40,50,50,40,70
2012,154,Independent,50,70,50,50,50,40,50,50,97,70,85,50,50,70,50,15,97,70,50,50,97,70
2012,155,Independent,30,30,65,20,70,20,60,20,20,40,70,60,50,70,50,30,50,50,40,40,20,60
2012,156,Weak Democrat,50,40,55,40,60,60,50,50,60,50,50,50,50,70,15,50,50,40,50,50,40,70
2012,157,Strong Democrat,40,30,58,30,85,85,30,40,60,85,60,70,70,70,85,40,30,40,40,40,60,70
2012,158,Independent,99,99,50,99,50,99,50,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
2012,159,Weak Democrat,40,50,50,50,85,50,15,70,50,50,85,50,70,85,0,40,30,30,85,85,60,70
2012,160,Independent Democrat,40,30,998,50,98,85,98,50,50,60,85,50,50,97,50,30,50,40,50,50,30,50
2012,161,Independent,50,50,50,50,50,50,50,50,50,30,85,30,50,60,50,30,50,50,70,70,60,60
2012,162,Weak Democrat,50,15,55,70,70,50,40,50,50,85,85,70,85,97,15,40,50,40,50,50,30,97
2012,163,No Party,15,15,65,97,65,60,65,97,50,85,85,85,50,97,50,50,70,50,50,50,50,70
2012,164,Weak Democrat,50,40,25,70,50,70,0,97,50,85,97,97,97,97,0,97,60,50,70,70,70,97
2012,165,Independent Democrat,40,15,50,0,60,60,40,70,50,50,85,50,50,97,50,0,60,50,97,97,0,50
2012,166,Independent Republican,30,15,38,15,15,97,60,85,70,97,97,97,97,85,85,70,30,30,0,0,70,70
2012,167,Independent,60,85,0,60,0,50,0,50,97,97,85,85,85,70,85,85,50,40,60,60,85,85
2012,168,Weak Republican,40,30,55,60,50,40,60,50,15,59,70,50,50,60,70,40,50,85,30,30,15,40
2012,169,Strong Democrat,30,55,28,85,55,10,0,10,10,40,50,50,50,85,75,40,60,51,85,85,50,60
2012,170,Independent Democrat,60,15,50,30,50,50,50,40,50,30,50,40,40,60,50,30,40,40,60,60,50,60
2012,171,Strong Republican,30,0,49,0,0,70,97,85,70,60,85,70,70,97,0,0,40,85,0,0,50,60
2012,172,Independent Republican,30,30,25,50,25,60,25,50,15,50,50,50,50,60,50,15,50,60,15,15,50,50
2012,173,Strong Republican,70,70,50,50,15,85,85,60,50,70,85,60,60,60,50,15,60,70,40,40,40,60
2012,174,Weak Republican,30,15,55,30,50,70,60,85,60,50,50,50,50,85,50,30,50,60,15,15,60,60
2012,175,Weak Republican,40,40,60,60,50,60,70,85,60,40,80,60,70,70,60,40,50,30,40,40,40,60
2012,176,Independent Republican,40,40,63,50,40,50,85,50,50,50,50,50,50,50,50,50,50,50,40,40,40,50
2012,177,Strong Democrat,15,50,46,50,90,50,2,50,0,97,85,85,85,50,50,70,70,40,60,60,50,50
2012,178,Independent Democrat,40,30,65,70,60,50,70,70,97,60,85,40,40,70,60,15,70,40,30,30,30,70
2012,179,Independent Republican,50,60,65,60,70,70,60,70,70,70,70,70,70,5,50,40,60,60,50,50,60,70
2012,180,Independent Democrat,60,40,50,60,50,40,50,85,50,50,85,60,50,85,30,15,70,50,40,40,50,60
2012,181,Strong Republican,70,70,55,60,40,60,70,85,30,70,80,70,70,85,70,40,85,85,70,70,85,85
2012,182,Weak Republican,50,50,50,50,40,50,60,50,50,15,97,15,15,60,50,15,50,60,50,50,50,60
2012,183,Independent Democrat,99,99,60,99,60,99,60,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
2012,184,Independent Republican,30,60,35,30,30,70,40,50,30,40,60,60,60,50,50,15,50,70,60,60,30,50
2012,185,Independent,40,30,55,40,50,60,60,70,60,50,50,50,50,97,40,30,60,60,60,60,60,70
2012,186,Weak Democrat,40,40,38,60,60,60,15,60,60,50,85,40,50,70,60,30,60,0,60,60,60,60
2012,187,Weak Democrat,70,85,63,30,85,50,40,97,97,85,85,85,85,97,50,0,50,50,97,97,0,70
2012,188,Weak Republican,30,15,65,40,60,85,70,85,85,85,85,85,97,85,85,0,85,85,70,70,70,85
2012,189,Independent Republican,50,85,65,60,70,70,60,85,85,97,97,97,97,97,97,50,70,85,40,40,60,97
2012,190,Strong Democrat,40,60,50,70,70,30,30,50,15,97,97,97,97,50,85,85,70,40,70,70,70,70
2012,191,Independent Republican,60,40,50,60,40,60,60,85,50,85,85,50,85,70,50,0,60,40,40,40,15,50
2012,192,Weak Democrat,50,30,65,50,70,50,60,50,50,50,50,50,50,97,50,15,50,30,70,70,15,50
2012,193,No Party,60,30,60,50,60,50,60,50,50,5,5,5,5,97,50,4,50,50,30,30,40,97
2012,194,Independent Republican,0,0,35,50,40,60,30,0,50,50,50,50,50,70,50,50,50,0,0,0,30,97
2012,195,Strong Democrat,70,70,73,50,85,60,60,50,50,60,97,50,50,85,85,40,30,50,70,70,40,70
2012,196,Weak Democrat,30,0,50,50,15,15,85,70,70,40,85,97,97,60,97,70,99,85,85,85,60,70
2012,197,Strong Democrat,70,70,55,65,70,70,40,75,40,70,85,60,70,75,85,40,60,50,90,90,65,70
2012,198,Independent Democrat,30,50,50,50,85,50,15,98,50,97,40,60,70,50,50,30,50,40,50,50,50,98
2012,199,Independent Democrat,50,50,50,55,50,45,50,50,40,65,65,65,65,60,60,45,60,55,60,60,55,60
2012,200,Weak Republican,97,45,50,50,40,70,60,97,51,97,97,90,97,97,97,40,68,85,90,90,90,97
2012,201,Weak Republican,99,99,45,99,30,99,60,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
2012,202,Strong Republican,97,85,49,60,0,70,97,97,50,60,97,60,85,60,50,50,60,60,60,60,60,97
2012,203,Independent,70,70,50,50,50,70,50,70,50,97,97,85,85,70,50,0,85,85,85,85,97,97
2012,204,Independent Republican,50,40,50,50,50,60,50,50,50,50,50,50,50,50,50,50,30,50,50,50,50,40
2012,205,Independent Republican,70,85,65,97,60,85,70,97,97,97,97,97,97,85,15,30,60,50,50,50,85,70
2012,206,Independent Democrat,50,50,38,97,60,30,15,50,15,50,50,50,50,85,97,50,50,15,60,60,50,50
2012,207,Independent,0,0,15,15,0,15,30,15,0,85,85,97,85,50,70,97,30,85,0,0,50,50
2012,208,Independent Democrat,40,40,60,70,70,40,50,50,50,60,85,60,70,70,50,40,50,40,50,50,40,50
2012,209,Weak Republican,30,40,40,40,40,60,40,50,60,50,50,50,60,50,50,40,50,50,60,60,50,50
2012,210,Strong Democrat,30,60,50,97,70,30,30,70,40,85,85,85,85,70,35,85,70,50,70,70,50,60
2012,211,Independent Republican,15,15,50,40,40,70,60,60,40,85,85,85,85,85,60,15,40,40,30,30,40,40
2012,212,Independent Democrat,50,50,55,70,70,60,40,50,15,70,70,70,70,70,70,70,60,50,60,60,50,70
2012,213,Independent,70,50,78,60,85,60,70,60,75,70,75,70,97,50,30,70,75,70,65,65,50,95
2012,214,Independent,50,50,50,50,50,60,50,50,50,50,50,50,50,70,50,50,0,30,85,85,15,50
2012,215,Strong Democrat,15,50,35,15,70,75,0,25,50,85,15,0,50,97,0,0,50,50,97,97,50,97
2012,216,Independent Republican,99,99,50,99,50,99,50,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
2012,217,Weak Democrat,40,40,55,50,60,50,50,85,50,50,60,40,50,97,70,40,50,50,30,30,15,85
2012,218,Weak Republican,40,40,35,60,30,50,40,50,40,60,70,50,50,70,70,30,50,40,40,40,60,60
2012,219,Strong Republican,15,40,43,30,15,85,70,85,60,70,85,70,85,85,50,30,15,60,40,40,70,85
2012,220,Weak Democrat,40,40,50,60,70,40,30,40,40,90,90,80,90,85,85,40,70,30,60,60,40,60
2012,221,Independent Democrat,50,30,50,50,50,50,50,50,50,50,50,40,50,50,50,50,50,30,50,50,50,97
2012,222,Strong Democrat,15,15,63,50,85,50,40,85,50,60,60,30,60,70,50,15,50,15,85,85,50,60
2012,223,Independent,70,70,50,50,50,70,50,70,60,50,85,30,70,70,50,15,50,65,50,50,60,85
2012,224,Weak Republican,15,40,38,30,15,70,60,85,50,97,97,97,97,97,97,15,70,50,40,40,85,97
2012,225,Strong Republican,99,99,43,99,0,99,85,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
2012,226,Independent,50,60,30,50,10,60,50,70,50,50,85,50,50,97,50,15,50,85,60,60,50,85
2012,227,Independent Democrat,30,40,38,60,60,30,15,40,30,60,60,50,50,70,15,40,60,30,60,60,40,70
2012,228,Strong Republican,40,40,50,50,30,70,70,60,99,50,97,60,60,70,40,50,60,30,30,30,70,60
2012,229,Independent Republican,99,99,45,99,50,99,40,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
2012,230,Strong Democrat,40,40,40,70,40,55,40,60,40,50,50,50,50,75,50,50,60,60,70,70,50,60
2012,231,Independent Republican,40,30,40,40,40,70,40,85,15,85,85,85,85,97,85,30,40,70,30,30,70,70
2012,232,Independent Democrat,50,60,50,70,70,40,30,70,40,70,70,70,70,85,70,60,70,40,60,60,60,85
2012,233,Independent Republican,30,40,50,50,30,60,70,50,50,97,97,97,97,50,70,0,40,40,40,40,30,50
2012,234,Independent Republican,40,40,45,15,30,70,60,50,30,40,85,15,85,85,50,40,40,60,30,30,40,50
2012,235,Strong Democrat,60,85,50,60,60,50,40,85,70,70,60,60,70,85,70,50,50,60,70,70,70,85
2012,236,Independent Democrat,0,50,50,60,85,30,15,30,0,40,60,30,60,50,50,0,30,15,0,0,50,70
2012,237,Strong Democrat,60,60,43,60,85,50,0,50,50,50,50,50,50,70,50,50,50,40,60,60,60,60
2012,238,Independent Democrat,40,30,33,60,50,30,15,50,50,60,60,40,60,70,40,30,60,50,50,50,50,60
2012,239,Independent Republican,15,0,40,60,40,97,40,50,50,50,50,50,50,50,60,0,50,97,0,0,40,50
2012,240,Independent,60,50,40,0,40,85,40,60,98,40,85,30,30,70,0,15,99,60,15,15,30,15
2012,241,Independent,85,85,50,30,50,60,50,30,30,70,85,15,30,97,0,15,15,50,70,70,15,97
2012,242,Independent Republican,30,30,50,40,30,70,70,85,85,97,97,97,97,85,50,30,40,50,30,30,50,85
2012,243,Independent Democrat,60,50,50,70,60,70,40,70,60,50,50,50,50,70,70,50,70,50,60,60,70,70
2012,244,Independent Democrat,99,99,55,99,60,99,50,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
